icd	description	term_main
K72.9	Hepatic failure, unspecified	Liver disease
K73	Chronic hepatitis, not elsewhere classified	Liver disease
K73.0	Chronic persistent hepatitis, not elsewhere classified	Liver disease
K73.1	Chronic lobular hepatitis, not elsewhere classified	Liver disease
K73.2	Chronic active hepatitis, not elsewhere classified	Liver disease
K73.8	Other chronic hepatitis, not elsewhere classified	Liver disease
K73.9	Chronic hepatitis, unspecified	Liver disease
K74	Fibrosis and cirrhosis of liver	Liver disease
K74.0	Hepatic fibrosis	Liver disease
K74.1	Hepatic sclerosis	Liver disease
K74.2	Hepatic fibrosis with hepatic sclerosis	Liver disease
K74.3	Primary biliary cirrhosis	Liver disease
K74.4	Secondary biliary cirrhosis	Liver disease
K74.5	Biliary cirrhosis, unspecified	Liver disease
K74.6	Other and unspecified cirrhosis of liver	Liver disease
K75	Other inflammatory liver diseases	Liver disease
K75.2	Nonspecific reactive hepatitis	Liver disease
K75.3	Granulomatous hepatitis, not elsewhere classified	Liver disease
K75.4	Autoimmune hepatitis	Liver disease
K75.8	Other specified inflammatory liver diseases	Liver disease
K75.9	Inflammatory liver disease, unspecified	Liver disease
K76	Other diseases of liver	Liver disease
K76.2	Central haemorrhagic necrosis of liver	Liver disease
K76.3	Infarction of liver	Liver disease
K76.4	Peliosis hepatis	Liver disease
K76.5	Hepatic veno-occlusive disease	Liver disease
K76.6	Portal hypertension	Liver disease
K76.7	Hepatorenal syndrome	Liver disease
K76.8	Other specified diseases of liver	Liver disease
K76.9	Liver disease, unspecified	Liver disease
K77	Liver disorders in diseases classified elsewhere	Liver disease
K77.8	Liver disorders in other diseases classified elsewhere	Liver disease
O35.5	Maternal care for (suspected) damage to fetus by drugs	drug dependence
O98.4	Viral hepatitis complicating pregnancy, childbirth and the puerperium	Liver disease
O99.3	Mental disorders and diseases of the nervous system complicating pregnancy, childbirth and the puerperium	drug dependence
P04.4	Fetus and newborn affected by maternal use of drugs of addiction	drug dependence
P96.1	Neonatal withdrawal symptoms from maternal use of drugs from addiction	drug dependence
P96.2	Withdrawal symptoms from therapeutic use of drugs in newborn	drug dependence
Q22.1	Congenital pulmonary valve stenosis	Primary valvular obstruction
Q22.3	Other congenital malformations of pulmonary valve	congenital heart disease
Q23.0	Congenital stenosis of aortic valve	Primary valvular obstruction
Q24.8	Other specified congenital malformations of heart	congenital heart disease
Q24.9	Congenital malformation of heart, unspecified	congenital heart disease
Q25.6	Stenosis of pulmonary artery	Primary valvular obstruction
Q27.1	Congenital renal artery stenosis	renal artery stenosis
Q27.2	Other congenital malformations of renal artery	renal artery stenosis
R78.4	Finding of other drugs of addictive potential in blood	drug dependence
S06.6	Traumatic subarachnoid haemorrhage	stroke
T86.2	Heart transplant failure and rejection	heart transplant
T86.3	Heart-lung transplant failure and rejection	heart transplant
Y49.6	Psychodysleptics [hallucinogens]	drug dependence
Z13.3	Special screening examination for mental and behavioural disorders	alcohol dependence
Z50.2	Alcohol rehabilitation	alcohol dependence
Z50.3	Drug rehabilitation	drug dependence
Z71.4	Drug abuse counselling and surveillance	alcohol dependence
Z71.5	Drug abuse counselling and surveillance	drug dependence
Z72.1	Alcohol use	alcohol dependence
Z72.2	Drug use	drug dependence
Z86.4	Personal history of psychoactive susbstance abuse	alcohol dependence
Z94.1	Heart transplant status	heart transplant
Z94.3	Heart and lungs transplant status	heart transplant
